Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Hour,Minute,Time_period,Is_peak_hour,Is_night,Is_weekend
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Other,One way,Tangent road with flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,7,10,7,10,Morning,1,0,0
Sunday,18-30,Male,Junior high school,Owner,Below 1yr,Other,Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,11,45,11,45,Afternoon,0,0,1
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Unknown,Normal,Not a Pedestrian,No distancing,11,45,11,45,Afternoon,0,0,1
Sunday,18-30,Male,Writing & reading,Employee,Below 1yr,Automobile,Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,11,45,11,45,Afternoon,0,0,1
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,11,45,11,45,Afternoon,0,0,1
Monday,18-30,Male,Elementary school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,No distancing,22,10,22,10,Night,0,1,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,22,10,22,10,Night,0,1,0
Monday,Unknown,Male,Junior high school,Owner,Below 1yr,Unknown,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overtaking,23,44,23,44,Night,0,1,0
Monday,18-30,Male,Writing & reading,Employee,5-10yr,Other,Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,23,44,23,44,Night,0,1,0
Tuesday,Unknown,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,8,5,8,5,Morning,1,0,0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,8,5,8,5,Morning,1,0,0
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overturning,8,5,8,5,Morning,1,0,0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,8,5,8,5,Morning,1,0,0
Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Ridden horse,Governmental,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,17,31,17,31,Evening,1,0,0
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,17,31,17,31,Evening,1,0,0
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,8,39,8,39,Morning,1,0,0
Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,8,39,8,39,Morning,1,0,0
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Unknown,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Moving Backward,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,11,14,11,14,Afternoon,0,0,0
Friday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Moving Backward,11,14,11,14,Afternoon,0,0,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Self-employed,Normal,Not a Pedestrian,Moving Backward,12,58,12,58,Afternoon,0,0,0
Friday,31-50,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,12,58,12,58,Afternoon,0,0,0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,2,5,2,5,Night,0,1,1
Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,2,5,2,5,Night,0,1,1
Thursday,31-50,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,16,0,16,0,Evening,1,0,0
Monday,Under 18,Male,High school,Employee,Above 10yr,Taxi,Governmental,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,15,15,15,15,Afternoon,0,0,0
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Unknown,Organization,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Employee,Normal,Not a Pedestrian,Changing lane to the right,15,15,15,15,Afternoon,0,0,0
Saturday,Unknown,Male,Elementary school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Unknown,Unknown,Not a Pedestrian,Driving carelessly,17,34,17,34,Evening,1,0,1
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Unknown,Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,17,34,17,34,Evening,1,0,1
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,18,40,18,40,Evening,1,0,1
Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,14,26,14,26,Afternoon,0,0,0
Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,14,26,14,26,Afternoon,0,0,0
Thursday,18-30,Male,High school,Owner,Above 10yr,Unknown,Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No distancing,14,5,14,5,Afternoon,0,0,0
Thursday,18-30,Male,Unknown,Owner,Below 1yr,Other,Owner,Unknown,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,14,5,14,5,Afternoon,0,0,0
Thursday,Unknown,Female,Writing & reading,Owner,5-10yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Unknown,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,17,23,17,23,Evening,1,0,0
Thursday,18-30,Male,Above high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,17,23,17,23,Evening,1,0,0
Tuesday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Governmental,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,12,5,12,5,Afternoon,0,0,0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Self-employed,Normal,Not a Pedestrian,Moving Backward,12,5,12,5,Afternoon,0,0,0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,15,40,15,40,Afternoon,0,0,0
Friday,31-50,Male,Junior high school,Owner,Above 10yr,Long lorry,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving under the influence of drugs,15,40,15,40,Afternoon,0,0,0
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Female,Junior high school,Employee,No Licence,Public (> 45 seats),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Male,Illiterate,Owner,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Driving to the left,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Unknown,Unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Male,Junior high school,Owner,1-2yr,Other,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Driver,Normal,Unknown or other,No priority to vehicle,22,40,22,40,Night,0,1,0
Tuesday,Unknown,Female,Junior high school,Owner,2-5yr,Public (12 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,22,40,22,40,Night,0,1,0
Monday,18-30,Male,Unknown,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Unknown,Self-employed,Normal,Not a Pedestrian,Driving carelessly,18,35,18,35,Evening,1,0,0
Monday,Over 51,Male,Unknown,Owner,Above 10yr,Stationwagen,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,35,18,35,Evening,1,0,0
Tuesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Below 1yr,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,16,0,16,0,Evening,1,0,0
Tuesday,31-50,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,2-5yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,16,0,16,0,Evening,1,0,0
Tuesday,Unknown,Male,Writing & reading,Owner,5-10yr,Automobile,Owner,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,16,0,16,0,Evening,1,0,0
Friday,Unknown,Male,Unknown,Owner,Unknown,Unknown,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,18,42,18,42,Evening,1,0,0
Friday,Under 18,Male,Junior high school,Owner,5-10yr,Unknown,Owner,Below 1yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,18,42,18,42,Evening,1,0,0
Monday,18-30,Male,Junior high school,Owner,Below 1yr,Pick up upto 10Q,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,8,15,8,15,Morning,1,0,0
Monday,18-30,Male,Junior high school,Owner,2-5yr,Turbo,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Changing lane to the right,8,15,8,15,Morning,1,0,0
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,12,30,12,30,Afternoon,0,0,0
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Other,Unknown,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,12,30,12,30,Afternoon,0,0,0
Friday,Unknown,Male,Junior high school,Employee,2-5yr,Stationwagen,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,17,35,17,35,Evening,1,0,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,17,35,17,35,Evening,1,0,0
Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Unknown,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving under the influence of drugs,15,0,15,0,Afternoon,0,0,1
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Driving carelessly,15,0,15,0,Afternoon,0,0,1
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,15,0,15,0,Afternoon,0,0,1
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,18,15,18,15,Evening,1,0,0
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,12,59,12,59,Afternoon,0,0,0
Tuesday,31-50,Male,Elementary school,Owner,Unknown,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Overtaking,12,59,12,59,Afternoon,0,0,0
Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,12,59,12,59,Afternoon,0,0,0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,12,59,12,59,Afternoon,0,0,0
Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Other,Owner,2-5yrs,Unknown,Residential areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,12,59,12,59,Afternoon,0,0,0
Wednesday,Unknown,Male,Unknown,Unknown,Unknown,Stationwagen,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,16,15,16,15,Evening,1,0,0
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,16,15,16,15,Evening,1,0,0
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,22,35,22,35,Night,0,1,1
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,22,35,22,35,Night,0,1,1
Friday,Unknown,Male,High school,Employee,Above 10yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Turnover,Driver,Normal,Not a Pedestrian,Moving Backward,7,0,7,0,Morning,1,0,0
Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,7,0,7,0,Morning,1,0,0
Tuesday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,15,20,15,20,Afternoon,0,0,0
Tuesday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Moving Backward,Driver,Normal,Not a Pedestrian,Changing lane to the left,15,20,15,20,Afternoon,0,0,0
Thursday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,13,3,13,3,Afternoon,0,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Unknown,Unknown,Normal,Not a Pedestrian,Moving Backward,13,3,13,3,Afternoon,0,0,0
Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Unknown,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,22,54,22,54,Night,0,1,1
Sunday,Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Unknown,Self-employed,Normal,Not a Pedestrian,No distancing,21,43,21,43,Night,0,1,1
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,21,43,21,43,Night,0,1,1
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Unknown,Unknown,Normal,Not a Pedestrian,Changing lane to the right,15,10,15,10,Afternoon,0,0,1
